Instance,GR,ILS
75_488_7_social_0.sol,6,6
75_534_7_social_0.sol,6,6
75_580_8_social_0.sol,5,5
75_626_9_social_0.sol,6,6
75_672_10_social_0.sol,5,5
75_718_11_social_0.sol,5,5
75_74_1_social_0.sol,10,10
75_763_12_social_0.sol,5,5
75_809_13_social_0.sol,4,4
75_855_14_social_0.sol,3,3
75_901_15_social_0.sol,4,4
75_947_16_social_0.sol,4,4
75_993_17_social_0.sol,3,3
800_105104_165_social_0.sol,6,6
800_110593_177_social_0.sol,5,5
800_116083_190_social_0.sol,5,5
800_11779_15_social_0.sol,31,33
800_121573_203_social_0.sol,5,5
800_127062_218_social_0.sol,5,5
800_132552_234_social_0.sol,4,4
800_138042_251_social_0.sol,4,4
800_143531_271_social_0.sol,4,4
800_149021_295_social_0.sol,3,3
800_154511_325_social_0.sol,3,3
800_160000_400_social_0.sol,2,2
800_17269_22_social_0.sol,23,25
800_22758_29_social_0.sol,19,20
800_28248_37_social_0.sol,16,17
800_33738_44_social_0.sol,14,15
800_39227_52_social_0.sol,13,13
800_44717_60_social_0.sol,12,12
800_50207_68_social_0.sol,11,11
800_55696_77_social_0.sol,10,10
800_61186_85_social_0.sol,9,9
800_6289_7_social_0.sol,47,52
800_66676_94_social_0.sol,8,9
800_72165_103_social_0.sol,8,8
800_77655_113_social_0.sol,7,7
800_799_1_social_0.sol,116,115
800_83145_122_social_0.sol,7,7
800_88635_132_social_0.sol,7,7
800_94124_143_social_0.sol,6,6
800_99614_154_social_0.sol,6,6
80_1024_16_social_0.sol,4,4
80_1076_17_social_0.sol,4,4
80_1128_18_social_0.sol,4,4
80_1181_19_social_0.sol,4,4
80_1233_20_social_0.sol,3,3
80_1286_22_social_0.sol,3,3
80_132_1_social_0.sol,4,4
80_1338_23_social_0.sol,3,3
80_1391_25_social_0.sol,3,3
80_1443_27_social_0.sol,3,3
80_1496_29_social_0.sol,2,2
80_1548_32_social_0.sol,2,2
80_1600_40_social_0.sol,2,2
80_184_2_social_0.sol,3,3
80_237_3_social_0.sol,7,7
80_289_3_social_0.sol,5,5
80_342_4_social_0.sol,7,7
80_394_5_social_0.sol,8,8
80_447_6_social_0.sol,7,7
80_499_6_social_0.sol,7,7
80_552_7_social_0.sol,7,7
80_604_8_social_0.sol,6,6
80_656_9_social_0.sol,5,5
80_709_10_social_0.sol,6,6
80_761_11_social_0.sol,5,5
80_79_1_social_0.sol,12,12
80_814_11_social_0.sol,5,5
80_866_12_social_0.sol,5,5
80_919_13_social_0.sol,5,5
80_971_14_social_0.sol,4,4
85_1035_14_social_0.sol,5,5
85_1094_15_social_0.sol,4,4
85_1153_16_social_0.sol,4,4
85_1213_18_social_0.sol,4,4
85_1272_19_social_0.sol,4,4
85_1331_20_social_0.sol,3,3
85_1391_22_social_0.sol,4,4
85_144_1_social_0.sol,5,4
85_1450_23_social_0.sol,3,3
85_1510_25_social_0.sol,3,3
85_1569_27_social_0.sol,3,3
85_1628_29_social_0.sol,3,3
85_1688_31_social_0.sol,3,3
85_1747_34_social_0.sol,2,2
85_1806_42_social_0.sol,2,2
85_203_2_social_0.sol,5,5
85_263_3_social_0.sol,7,7
85_322_3_social_0.sol,8,6
85_381_4_social_0.sol,8,8
85_441_5_social_0.sol,8,7
85_500_6_social_0.sol,7,7
85_560_7_social_0.sol,8,8
85_619_8_social_0.sol,7,7
85_678_8_social_0.sol,5,5
85_738_9_social_0.sol,6,6
85_797_10_social_0.sol,6,6
85_84_1_social_0.sol,11,11
85_856_11_social_0.sol,5,5
85_916_12_social_0.sol,5,5
85_975_13_social_0.sol,5,5
900_105176_138_social_0.sol,7,7
900_112128_149_social_0.sol,7,7
900_119079_161_social_0.sol,6,7
900_126031_173_social_0.sol,6,6
900_132983_186_social_0.sol,6,6
900_139935_199_social_0.sol,6,6
900_146886_214_social_0.sol,5,5
900_14803_16_social_0.sol,29,30
900_153838_229_social_0.sol,5,5
900_160790_245_social_0.sol,5,5
900_167742_263_social_0.sol,4,4
900_174693_283_social_0.sol,4,4
900_181645_305_social_0.sol,4,4
900_188597_332_social_0.sol,4,4
900_195549_366_social_0.sol,3,3
900_202500_450_social_0.sol,2,2
900_21755_24_social_0.sol,21,22
900_28707_33_social_0.sol,20,20
900_35658_41_social_0.sol,16,17
900_42610_50_social_0.sol,14,15
900_49562_58_social_0.sol,13,13
900_56514_67_social_0.sol,12,12
900_63465_77_social_0.sol,11,12
900_70417_86_social_0.sol,10,11
900_77369_96_social_0.sol,9,10
900_7851_8_social_0.sol,46,63
900_84321_106_social_0.sol,9,9
900_899_1_social_0.sol,126,126
900_91272_116_social_0.sol,8,9
900_98224_127_social_0.sol,8,8
90_1024_13_social_0.sol,5,5
90_1091_14_social_0.sol,5,5
90_1158_15_social_0.sol,4,4
